metric,projector,instance,precision,recall,f1
test_location-structure-hotel/macro_types,classifier_adapter_bert_ms,0,0.3125,1.0,0.4761904776096344
test_person-religious_leader/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-political_party/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-living_thing/macro_types,classifier_adapter_bert_ms,0,1.0,0.01923076994717121,0.03773585334420204
test/macro_example,classifier_adapter_bert_ms,0,0.6219085454940796,0.5720685124397278,0.5959482192993164
test_location-transit-bridge/macro_types,classifier_adapter_bert_ms,0,0.0,0,0.0
test_location-geography-mountain/macro_types,figer_classifier_adapter_bert_ms,0,0.3333333432674408,1,0.5
test_other-supernatural/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-artist-director/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-event-holiday/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_person-legal/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-sports_league/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-military/macro_types,figer_classifier_adapter_bert_ms,0,0.3214285671710968,1.0,0.4864864945411682
test_location-transit-railway/macro_types,figer_classifier_adapter_bert_ms,0,1.0,0.3333333432674408,0.5
test_other-art-music/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_other-art-stage/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_other-language/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_other/macro_types,figer_classifier_adapter_bert_ms,0,0.8879873156547546,0.8536543846130371,0.8704824447631836
test_location-structure-airport/macro_types,figer_classifier_adapter_bert_ms,0,0.1666666716337204,1,0.2857142984867096
test_other-art-broadcast/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_location-transit/macro_types,figer_classifier_adapter_bert_ms,0,0.3913043439388275,0.5625,0.4615384340286255
test_other-heritage/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0.0,0.0
test_organization-music/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_organization-company-broadcast/macro_types,figer_classifier_adapter_bert_ms,0,1.0,0.5882353186607361,0.7407407164573669
test_other-health-malady/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
test_person-political_figure/macro_types,figer_classifier_adapter_bert_ms,0,0.20000000298023224,0.005291005130857229,0.010309278964996338
test_other-internet/macro_types,figer_classifier_adapter_bert_ms,0,0.0,0,0.0
